App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last update,Privacy Policy,Content Rating,Ad Supported,In app purchases,Editor Choice,Summary,Reviews,Android version Text,Developer,Developer Address,Developer Internal ID,Version
Logistics Management,com.eniseistudio.logistics_management,Education,4.090909,66,"10,000+",10000,TRUE,0,USD,5.8M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Jul 19, 2017","July 19, 2017",N/A,Everyone,TRUE,FALSE,FALSE,Leading Online Learning and Training System in Logistics Management,28,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.5
Estados Unidos Noticias,com.eniseistudio.news.estados_unidos,News & Magazines,4,8,"1,000+",1000,TRUE,0,USD,5.3M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"May 5, 2017","May 5, 2017",N/A,Everyone,TRUE,FALSE,FALSE,"Top Stories
World
Entertainment
Sport
Travel
Technology
Health
Business
Photos",3,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.2.3
Dental Assistant,com.eniseistudio.dental_assistant,Education,3.8666666,15,"10,000+",10000,TRUE,0,USD,5.7M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Jul 18, 2017","July 18, 2017",N/A,Everyone,TRUE,FALSE,FALSE,"Dental Assistant: Study Dental Assistant, Dental Assistant Training Courses.",3,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.5
Medical Assistant,com.eniseistudio.course.medical_assistant,Education,4,18,"5,000+",5000,TRUE,0,USD,5.8M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Jun 24, 2017","June 24, 2017",N/A,Everyone,TRUE,FALSE,FALSE,Medical Assistant Degree Medical Assistant Jobs Medical Assistant Education,7,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.4
Business Administration,com.eniseistudio.majors.course.business_administration,Education,4.023256,86,"50,000+",50000,TRUE,0,USD,5.7M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Jun 13, 2017","October 6, 2017",N/A,Everyone,TRUE,FALSE,FALSE,"Business Administration Learning, Business Administration Course, Jobs, Skills",29,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.6
Economics,com.eniseistudio.economics,Education,4.1386137,223,"100,000+",100000,TRUE,0,USD,5.9M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Jul 16, 2017","July 16, 2017",N/A,Everyone,TRUE,FALSE,FALSE,Economics: Study Economics. Economics: Economics Training Courses.,82,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.5
Cosmetology,com.eniseistudio.course.cosmetology,Education,2.4210527,19,"5,000+",5000,TRUE,0,USD,5.7M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Jun 25, 2017","June 25, 2017",N/A,Everyone,TRUE,FALSE,FALSE,Learn Cosmetology. Cosmetology Degree. Cosmetology Education and Training,12,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.4
Learn Python,com.jquiz.python,Education,0,N/A,10+,10,TRUE,0,USD,9.3M,4.1,4656446977926340000,N/A,eniseistudio@gmail.com,"Nov 23, 2019","November 23, 2019",N/A,Everyone,TRUE,FALSE,FALSE,"Learn, practice and take a quiz python language",0,4.1 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,6
Quality Management,com.eniseistudio.quality_management,Education,4.3333335,6,"5,000+",5000,TRUE,0,USD,5.6M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Oct 6, 2017","October 6, 2017",N/A,Everyone,TRUE,FALSE,FALSE,"Quality Management Learning, Quality Management Course, Jobs, Skills, Flashcards",2,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.6
Tourism Management,com.eniseistudio.tourism_management,Education,4.730769,26,"10,000+",10000,TRUE,0,USD,5.9M,4,4656446977926340000,N/A,eniseistudio@gmail.com,"Oct 6, 2017","October 6, 2017",N/A,Everyone,TRUE,FALSE,FALSE,"Tourism Management Learning, Tourism Management Course, Jobs, Skills",8,4.0 and up,eniseistudio,"7115 N Muscatel Ave San Gabriel, CA 91775 United States",4.65645E+18,1.1.6
